学校名称,学校ID号
西安体育学院,378
长春理工大学,379
西安音乐学院,380
长春工业大学,381
西安美术学院,382
西安培华学院,383
吉林农业大学,384
湘潭大学,385
吉首大学,386
长春师范大学,387
湖南科技大学,388
长沙理工大学,389
吉林师范大学,390
南华大学,391
湖南农业大学,392
东北电力大学,393
长春工程学院,394
吉林建筑大学,395
湖南理工学院,396
湖南城市学院,397
湖南工业大学,398
湖南工程学院,399
吉林化工学院,400
中南林业科技大学,401
湖南中医药大学,402
湘南学院,403
长春中医药大学,404
吉林工程技术师范学院,405
衡阳师范学院,406
湖南工商大学,407
通化师范学院,408
湖南科技学院,409
白城师范学院,410
吉林外国语大学,411
吉林财经大学,412
吉林体育学院,413
中南财经政法大学,414
湖南文理学院,415
怀化学院,416
华中农业大学,417
邵阳学院,418
东北林业大学,419
华中师范大学,420
黑龙江大学,421
佳木斯大学,422
中南民族大学,423
齐齐哈尔大学,424
湖北大学,425
哈尔滨理工大学,426
黑龙江八一农垦大学,427
长江大学,428
哈尔滨医科大学,429
江汉大学,430
三峡大学,431
武汉纺织大学,432
湖北工业大学,433
武汉工程大学,434
湖北汽车工业学院,435
武汉轻工大学,436
湖北中医药大学,437
湖北医药学院,438
湖北师范大学,439
黄冈师范学院,440
黑龙江中医药大学,441
牡丹江师范学院,442
湖北工程学院,443
哈尔滨商业大学,444
湖北经济学院,445
东北石油大学,446
哈尔滨学院,447
武汉体育学院,448
黑龙江工程学院,449
黑龙江科技大学,450
湖北美术学院,451
湖北民族大学,452
牡丹江医学院,453
齐齐哈尔医学院,454
武汉音乐学院,455
黑龙江东方学院,456
湖北科技学院,457
郑州轻工业大学,458
河南大学,459
河南科技大学,460
湖北文理学院,461
河南农业大学,462
河南理工大学,463
华北水利水电大学,464
华侨大学,465
河南工业大学,466
福建农林大学,468
黄河科技学院,469
西藏民族大学,470
集美大学,471
仰恩大学,472
福建师范大学,473
福建理工大学,474
泉州师范学院,475
闽南师范大学,476
闽江学院,477
莆田学院,478
郑州航空工业管理学院,479
西北民族大学,480
中原工学院,481
新乡医学院,482
兰州理工大学,483
洛阳师范学院,484
周口师范学院,485
南阳师范学院,487
兰州交通大学,488
商丘师范学院,489
河南财经政法大学,490
青岛农业大学,491
甘肃农业大学,492
许昌学院,493
聊城大学,494
西北师范大学,495
临沂大学,496
甘肃中医药大学,498
青岛大学,499
兰州财经大学,500
甘肃政法大学,501
河西学院,502
海南大学,504
内蒙古科技大学,505
内蒙古民族大学,506
青岛科技大学,507
内蒙古工业大学,508
青岛理工大学,509
曲阜师范大学,510
海南师范大学,511
海南医学院,512
贵州师范大学,514
贵州医科大学,515
贵州民族大学,516
内蒙古农业大学,517
遵义医科大学,518
内蒙古师范大学,519
贵州财经大学,520
贵州中医药大学,521
黔南民族师范学院,522
遵义师范学院,523
内蒙古医科大学,525
山东工商学院,526
山东工艺美术学院,527
山东建筑大学,528
内蒙古财经大学,529
广西医科大学,530
广西师范大学,531
桂林电子科技大学,532
桂林理工大学,533
山东交通学院,534
山东财经大学,535
广西科技大学,536
山东科技大学,537
桂林医学院,538
玉林师范学院,539
山东理工大学,540
南宁师范大学,541
山东农业大学,542
广西民族大学,543
宁夏大学,544
北方民族大学,545
宁夏医科大学,546
齐鲁工业大学,547
山东体育学院,548
山东艺术学院,549
泰山学院,550
山东第一医科大学,551
潍坊学院,552
山东第二医科大学,553
烟台大学,554
鲁东大学,555
北京化工大学,556
中国农业大学,557
中国传媒大学,558
北京城市学院,559
北方工业大学,561
中央戏剧学院,562
北京电影学院,563
中央美术学院,564
北京电子科技学院,565
中央财经大学,566
北京服装学院,567
中华女子学院,568
中国政法大学,569
北京工商大学,570
中国音乐学院,571
北京建筑大学,572
北京协和医学院,573
中国戏曲学院,574
北京联合大学,575
中国人民公安大学,576
北京农学院,578
中国劳动关系学院,579
北京石油化工学院,580
外交学院,581
首钢工学院,583
首都医科大学,584
北京舞蹈学院,585
北京物资学院,586
首都体育学院,587
首都师范大学,589
北京印刷学院,590
华北电力大学保定校区,591
北京语言大学,592
国际关系学院,594
河北师范大学,595
河北医科大学,596
华北理工大学,597
河北农业大学,598
燕山大学,599
承德医学院,600
河北北方学院,601
河北工程大学,602
河北建筑工程学院,603
华北科技学院,604
河北地质大学,606
石家庄铁道大学,607
唐山学院,608
邢台学院,609
中国人民警察大学,610
中央司法警官学院,611
广东职业技术学院,612
广东工贸职业技术学院,613
广东机电职业技术学院,615
广东建设职业技术学院,616
广东交通职业技术学院,617
广东省外语艺术职业学院,619
广东水利电力职业技术学院,620
山东师范大学,622
唐山师范学院,624
廊坊师范学院,625
河北体育学院,626
衡水学院,627
石家庄学院,628
邯郸学院,629
广东文艺职业学院,630
广东亚视演艺职业学院,631
广州工程技术职业学院,632
广州工商学院,633
广州民航职业技术学院,635
广州南洋理工职业学院,636
广州铁路职业技术学院,638
揭阳职业技术学院,640
罗定职业技术学院,641
茂名职业技术学院,642
广东东软学院,643
广东南华工商职业学院,644
汕头职业技术学院,645
深圳职业技术大学,646
私立华联学院,647
中山火炬职业技术学院,648
珠海艺术职业学院,649
保定学院,650
沧州师范学院,651
沧州医学高等专科学校,652
防灾科技学院,653
上海海关学院,655
河北女子职业技术学院,658
河北美术学院,659
保定电力职业技术学院,660
电子科技大学,661
上海邦德职业技术学院,662
上海城建职业学院,663
上海出版印刷高等专科学校,664
上海电子信息职业技术学院,666
上海震旦职业学院,668
上海东海职业技术学院,669
上海工艺美术职业学院,671
上海海事职业技术学院,673
上海济光职业技术学院,674
上海建桥学院,676
上海交通职业技术学院,677
山东医学高等专科学校,678
上海科学技术职业学院,679
上海立达学院,680
上海农林职业技术学院,682
上海思博职业技术学院,683
上海兴伟学院,684
上海工商职业技术学院,685
上海行健职业学院,686
北华航天工业学院,687
河北水利电力学院,688
河北石油职业技术大学,689
邢台医学高等专科学校,690
河北民族师范学院,691
河北金融学院,692
河北化工医药职业技术学院,693
河北能源职业技术学院,695
张家口职业技术学院,696
河北科技工程职业技术大学,697
河北工业职业技术大学,698
沧州职业技术学院,700
石家庄职业技术学院,701
石家庄铁路职业技术学院,702
保定职业技术学院,703
邯郸职业技术学院,704
上海中侨职业技术大学,706
黑龙江林业职业技术学院,707
大庆职业学院,708
大兴安岭职业学院,709
哈尔滨电力职业技术学院,710
哈尔滨金融学院,711
哈尔滨铁道职业技术学院,712
哈尔滨职业技术学院,713
鹤岗师范高等专科学校,714
黑龙江建筑职业技术学院,715
黑龙江职业学院,716
河北软件职业技术学院,717
秦皇岛职业技术学院,718
唐山工业职业技术学院,720
河北工程技术学院,721
衡水职业技术学院,722
河北艺术职业学院,724
河北司法警官职业学院,725
河北旅游职业学院,726
唐山职业技术学院,727
石家庄科技信息职业学院,728
河北交通职业技术学院,729
